python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
warning,英 [?w?:n??]美 [?w?rn??],n. 警告; 征候，预兆; 前车之鉴; adj. 警告的; 告诫的; 引以为戒的; v. 提醒; 告
column,英 [?k?l?m]美 [?kɑl?m],n. 专栏; 圆柱; 纵队，列;
relative,英 [?rel?t?v]美 [?r?l?t?v],adj. 相对的; 相关的; 相互有关的; 比较而言的; n. 亲属，亲戚; 相关物; 亲缘植物（或
actual,英 [??kt?u?l]美 [??kt?u?l],adj. 实际的; 真实的; 现行的; 现在的;
setter,英 [?set?(r)]美 [?s?t?],n. 安放者，安装员; 作曲者; 排字者; 塞特种猎狗;
vector,英 [?vekt?(r)]美 [?v?kt?],n. 矢量; 航向; [生]带菌者; [天]矢径; vt. 用无线电引导; 为…导航;
connect,英 [k??nekt]美 [k??n?kt],vt. 连接，联结; 使…有联系; 为…接通电话; 插入插座; vi. 连接; 建立关系; [体]成
constructor,英 [k?n?str?kt?(r)]美 [k?n'str?kt?],n. 构造器;
necessary,英 [?nes?s?ri]美 [?nes?seri],adj. 必要的; 强制的; 必然的; 不可避免的; n. 必需品;
complicated,英 [?k?mpl?ke?t?d]美 [?kɑmpl?ke?t?d],adj. 结构复杂的; 混乱的，麻烦的; v. 使复杂化( complicate的过去式);
supplied,英 [s?'pla?d]美 [s?'pla?d],v. 补充; 供给( supply的过去式和过去分词 ); 弥补（缺陷、损失等）; 向…提供（物资等
floating,英 [?fl??t??]美 [?flo?t??],adj. 不固定的，流动的，浮动的; v. （使）浮动( float的现在分词 ); （使）漂浮[飘
several,"英 [?sevr?l]美 [?s?v?r?l,?s?vr?l]",adj. 几个的; 专有的; 各自的; 分别的; pron. 一些; 几个，数个;
especially,"英 [??spe??li]美 [??sp???li, ??sp??-]",adv. 尤其地; 主要地，格外地; 显著地; 异常地;
subtle,英 [?s?tl]美 [?s?tl],adj. 微妙的; 巧妙的; 敏感的; 狡猾的;
space,英 [spe?s]美 [ spes],n. 空间，太空; 空白，间隔; 空隙; 片刻; vt. 把…分隔开，留间隔于…之间; vi. 以一
missing,英 [?m?s??]美 [?m?s??],adj. 失去的; 下落不明的; v. 错过( miss的现在分词);
continue,英 [k?n?t?nju:]美 [k?n?t?nju],vi. 持续; 逗留; 维持原状; vt. 延期; 使延伸; 使持续; 继续说;
indexing,英 ['?ndeks??]美 ['?ndeks??],n. 索引; 标引; 标定指数; 变址;
produce,英 [pr??dju:s]美 [pr??dus],vt.& vi. 产生; 生产; 制作; 创作; vt. 制造; 出示; 引起; [经济学]生利; 
straightforward,英 [?stre?t?f?:w?d]美 [?stre?t?f?rw?rd],adj. 直截了当的; 坦率的; 明确的; adv. 直截了当地; 坦率地;
english,英 [???gl??]美 [???ɡl??],n. 英吉利人; 英格兰（男）人，英国（男）人;
browser,英 [?bra?z?(r)]美 [?bra?z?],n. 浏览程序; 浏览器（用于在互联网上查阅信息）; 浏览图书报刊者; 逛商店的人;
valid,英 [?v?l?d]美 [?v?l?d],adj. 有效的; 有法律效力的; 正当的; 健全的;
critical,英 [?kr?t?kl]美 [?kr?t?k?l],adj. 关键的; 批评的，爱挑剔的; 严重的; 极重要的;
lookup,英 ['l?k?p]美 ['l?k??p],v. 查找; 查表;
appear,英 [??p??(r)]美 [??p?r],vi. 发表; 出现，显现; 出庭，出场; 演出;
proxy,英 [?pr?ksi]美 [?prɑksi],n. 代理服务器; 代表权; 代理人，代替物; 委托书;
sense,英 [sens]美 [s?ns],n. 感觉，官能; 意识，观念; 理性; 识别力; vt. 感到; 理解，领会; 检测出;
assignment,英 [??sa?nm?nt]美 [??sa?nm?nt],n. 分给，分配; 任务，工作，（课外）作业; <美>任命; 指定，委派;
comparison,英 [k?m?p?r?sn]美 [k?m?p?r?s?n],n. 比较，对照; [语]比喻; 比较级;
ignore,"英 [?g?n?:(r)]美 [?ɡ?n?r, -?nor]",vt. 忽视，不顾; [法律]驳回（诉讼）;
corresponding,英 [?k?r??sp?nd??]美 [?k?r??spɑnd??],adj. 相当的，对应的; 通信的; 符合的，符合。。; 一致的; v. 相符合( correspo
according,英 [?'k?:d??]美 [?'k?d??],adv. 依照; v. 给予( accord的现在分词 ); 使和谐一致; 使符合; 使适合; ad
associated,英 [??s???ie?t?d]美 [??so??ie?t?d],vt. 合伙，合营; 联合，结合; 联想; vi. 联系(associate的过去式和过去分词); 
neutrality,英 [nju:?tr?l?ti]美 [nu?tr?l?ti],n. 中立，中立地位; <化>中性;
present,英 [?preznt]美 [?pr?znt],adj. 目前的; 现在的; 出席的; [语法学]现在时的; n. 现在; 礼物; 瞄准; vt. 
virtual,英 [?v?:t?u?l]美 [?v?rt?u?l],adj. 实质上的，事实上的; （计算机）虚拟的; <物>有效的，虚像的; （粒子）实际存在的;
scalar,"英 [?ske?l?(r)]美 [?skel?, -?lɑr]",adj. 标量的; 梯状的; 分等级的; 数量的; n. 数量，标量;
logged,英 [l?:gd]美 [l?gd],adj. 笨拙的，（树）劈成木材的;
spider,英 [?spa?d?(r)]美 [?spa?d?],n. 蜘蛛; 星形轮，十字叉; 带柄三脚平底锅; 三脚架;
manner,英 [?m?n?(r)]美 [?m?n?],n. 方式，方法，做法; 态度，样子，举止; 礼貌，规矩; 风俗，习惯，惯例，生活方式;
utility,英 [ju:?t?l?ti]美 [ju?t?l?ti],n. 公用事业; 功用，效用; 有用的物体或器械; 公用事业公司; adj. 有多种用途的; 各种工
conversion,英 [k?n?v?:?n]美 [k?n?v?r?n],n. 变换，转变; 改装物; 财产转换，兑换; [逻] 换位（法）;
easier,英 ['i:z??]美 ['iz?r],adj. 不费力的( easy的比较级 ); 宽松的; 宽裕的; 从容的;
effect,英 [??fekt]美 [??f?kt],n. 效果; 影响; 印象; 所有物; vt. 使发生; 引起; 产生（效果）;
everything,英 [?evriθ??]美 [??vri?θ??],pron. 每件事物; 最重要的东西; （有关的）一切; 万事;
nothing,英 [?n?θ??]美 [?n?θ??],pron. 没有东西; 没有事情; 无关紧要的东西; 毫无趣味的事; n. 无; 无关紧要的人[事]
practice,英 [?pr?kt?s]美 [?pr?kt?s],n. 实践; 练习; 惯例; （医生或律师的）业务; vi. 练习; 实习; 实行; 惯常地进行; 
positional,英 [p??z???n?l]美 [p??z???n?l],adj. 位置的，地位的; 按位;
learning,英 [?l?:n??]美 [?l?rn??],n. 学问，学术，知识; v. 学习(learn的现在分词);
daemon,英 [?di:m?n]美 ['dim?n],n. 守护神; （希腊神话中）半人半神的精灵; [计]守护进程;
supply,英 [s??pla?]美 [s??pla?],vt. 供给; 补充; 弥补（缺陷、损失等）; 向…提供（物资等）; n. 供给物; 储备物质; 粮
platform,英 [?pl?tf?:m]美 [?pl?tf?rm],n. 平台; 台; 站台; 纲领; v. 把…放在台上; 为…设（平）台; （在台上）演讲;
visitor,英 [?v?z?t?(r)]美 [?v?z?t?],n. 游客; 访问者; 参观者; 候鸟;
searching,英 [?s?:t???]美 [?s?rt???],adj. 搜索的; 彻底的; 锐利的; n. 搜寻，搜索，检查; v. 搜查; 找寻( search
unpack,英 [??n?p?k]美 [?n?p?k],vt.& vi. 从（包裹等）中取出（所装的东西），打开行李取出; vt. 拆包; 解除…的负担; 
finder,英 [?fa?nd?(r)]美 [?fa?nd?],n. 探测器; 发现者;
login,英 [?l?g?n]美 [?l?g?n],n. 登录; 注册; vt.& vi. [电脑]登录，进入系统;
serve,英 [s?:v]美 [s?rv],vt.& vi. 提供; （为…）服务; 任（职）; 端上; vt. 招待; （为…）工作; 对…有
loaded,英 [?l??d?d]美 [?lo?d?d],adj. 载重的，有负荷的; 充满…的; 〈美俚〉喝醉了的; 〈美俚〉富有的; v. 把…装上车[船
children,英 [?t??ldr?n]美 [?t??ldr?n],n. 儿童; 孩子们(child的复数); 膝下; 孥;
inherited,英 [?n'her?t?d]美 [?n'her?t?d],adj. 通过继承得到的，遗传的; 继承权的; v. 继承( inherit的过去式和过去分词 );
course,英 [k?:s]美 [k?rs],n. 课程; 航线; 行动方向; 一道菜; vt. 快速地流动; 奔流; 跑过; 追逐; vi. 沿
analytics,英 [??n?'l?t?ks]美 [??n?'l?t?ks],n. 分析学，解析学，分析论;
printing,英 [?pr?nt??]美 [?pr?nt??],n. 印刷（术）; （书籍的）一次印刷; 印刷字体; 一次的印数; v. （在松软的表面）压印( p
worker,英 [?w?:k?(r)]美 [?w?rk?(r)],n. 劳动者; 工人，员工; [虫]工蜂，工蚁;
middleware,英 [?m?dlwe?(r)]美 [?m?dlwer],n. 中间设备，中间件;
tricky,英 [?tr?ki]美 [?tr?ki],adj. 狡猾的; 微妙的; （形势、工作等）复杂的; 机警的;
performing,英 [p?'f?:m??]美 [p?'f?m??],adj. 表演的，履行的; v. 表演; 履行; 执行( perform的现在分词 ); 扮演;
developer,英 [d??vel?p?(r)]美 [d??vel?p?r],n. 开发者; <摄>显影剂，显像剂;
coding,英 ['k??d??]美 ['ko?d??],n. 译码;
entirely,英 [?n?ta??li]美 [?n?ta??rli],adv. 完全地; 完整地; 全部地; 彻底地;
patch,英 [p?t?]美 [p?t?],n. 补丁，补片; 眼罩; 斑点; 小块; vt. 修补，拼凑; 暂时遮掩一下; 修理，平息（吵架等
master,英 [?mɑ:st?(r)]美 [?m?st?(r)],n. 大师; 硕士; 主人（尤指男性）; 男教师; vt. 精通，熟练; 作为主人，做…的主人; 征
think,英 [θ??k]美 [θ??k],vt. 想; 以为; 思索; 看待; vi. 考虑; 思辩; 构想; 回忆; adj. 深思的; 供
receive,英 [r??si:v]美 [r??siv],vt.& vi. 收到; 接待; 接到; 接纳; vt. 接收; 受理; 欢迎; 承受; vi. 接
correct,英 [k??rekt]美 [k??r?kt],adj. 正确的; 合适的; 符合公认准则的; 得体的; v. 改正; 批改; 指出错误;
preceding,英 [pr?'si:d??]美 [pr??sid??],adj. （时间或地点上）在先的，在前的，前面的; 前述的; 上述的; v. 在…之前发生（或出现）
extend,英 [?k?stend]美 [?k?st?nd],vt.& vi. 延伸; 扩大; 推广; vt. 延长; 伸展; 给予; 发出（邀请、欢迎等）; v
complete,英 [k?m?pli:t]美 [k?m?plit],adj. 完整的; 完成的; （用以强调）完全的; 达到结尾的; vt. 完成，使完满; 完成或结束
immediately,英 [??mi:di?tli]美 [??midi?tli],adv. 立即，马上; 直接地; 紧接地; conj. 一…就，即刻;
reduce,英 [r??dju:s]美 [r??dus],vt. 减少; 缩小; 使还原; 使变弱; vi. 减少; 节食; 蒸发; （液体）浓缩变稠;
analysis,英 [??n?l?s?s]美 [??n?l?s?s],n. 分析，分解; 梗概，要略; [数]解析; 验定;
ensure,英 [?n'???(r)]美 [?n???r],vt. 确保; 担保获得[避免]; 使（某人）获得; 使安全;
larger,英 [la:d??]美 [lad??],adj. 大的，多量的; 大的( large的比较级 ); 大规模的; 众多的; （服装、食物、日用
inner,英 [??n?(r)]美 [??n?],adj. 内部的，内心的; 精神的; 秘密的; n. 内部，里面; 射中接近靶心部分的一发;
major,英 [?me?d??(r)]美 [?med??],adj. 主要的; 重要的; 大调的; 主修的（课程）; n. 主修科目; 大调; 陆军少校; 成年
slightly,英 [?sla?tli]美 [?sla?tli],adv. 轻微地，轻轻地; 细长地，苗条地; 〈罕〉轻蔑地; 粗;
properly,英 [?pr?p?li]美 [?prɑp?rli],adv. 适当地; 正确地; 恰当地; 完全，非常;
efficient,英 [??f??nt]美 [??f???nt],adj. 有效率的; （直接）生效的; 能干的; （因省钱、省时或省力等而）收效大的;
exercise,英 [?eks?sa?z]美 [?eks?rsa?z],n. 练习; 运动，训练; 运用; 典礼; vi. 锻炼，训练，练习; vt. 锻炼（身体某部位）;
product,英 [?pr?d?kt]美 [?prɑd?kt],n. 产品; 乘积; 结果; 作品;
usual,英 [?ju:?u?l]美 [?ju?u?l],adj. 通常的，常有的，常见的; 平常的，普通的; 平时的，平日的; 一向的，老是那一套的;
width,"英 [w?dθ]美 [w?dθ, w?θ, w?tθ]",n. 宽度; 广度;
prototype,英 [?pr??t?ta?p]美 [?pro?t?ta?p],n. 原型，雏形，蓝本;
compare,英 [k?m?pe?(r)]美 [k?m?per],vt.& vi. 比较，对照; vt. 比拟，喻为; [语]构成; vi. 相比，匹敌; 比较，区别
clean,英 [kli:n]美 [klin],adj. 清洁的; 整齐的; 新的; 正派的; vt.& vi. （使）清洁; 变干净; 除去…的灰
compatible,英 [k?m?p?t?bl]美 [k?m?p?t?b?l],adj. 兼容的，相容的; 和谐的，协调的; [生物学]亲和的; 可以并存的，能共处的;
timing,英 [?ta?m??]美 [?ta?m??],n. 定时; 时机掌握; 配光; 记时;
included,英 [?n'klu:d?d]美 [?n?klud?d],adj. 被包括的; [植]内藏的; （几何）两交叉直线所夹的; v. 包含; 列入; 包括( in
unsigned,英 ['?n'sa?nd]美 [?n'sa?nd],adj. 无符号的，无正负之分的;
logic,英 [?l?d??k]美 [?lɑd??k],n. 逻辑，逻辑学; （做某事的）道理; 推理方法; 威力，压力，强制（力）; adj. 逻辑的;
factory,英 [?f?ktri]美 [?f?kt?ri],n. 工厂，制造厂; <古>代理店;
represent,英 [?repr??zent]美 [?r?pr??z?nt],vt. 表现，象征; 代表，代理; 扮演; 作为示范; vi. 代表; 提出异议;
profile,英 [?pr??fa?l]美 [?pro?fa?l],n. 侧面，半面; 外形，轮廓; [航]翼型; 人物简介; vt. 描…的轮廓; 给…画侧面图; 为
license,英 [?la?sns]美 [?la?s?ns],n. 许可证，执照; 特许; vt. 同意; 发许可证;
spicy,英 [?spa?si]美 [?spa?si],adj. 辛辣的; 加有香料的，香的; 有刺激性的; （故事等）猥亵的，下流的;
manage,英 [?m?n?d?]美 [?m?n?d?],vt. 经营; 使用; 完成（困难的事）; 明智地使用（金钱、时间、信息等）; vt.& vi. 办
expect,英 [?k?spekt]美 [?k?sp?kt],vt. 期望; 预料; 要求; 认为（某事）会发生; vi. 期待; 预期; 怀胎; 怀孕;
layer,英 [?le??(r)]美 [?ler],n. 层，层次; 膜; [植]压条; 放置者，计划者; vt. 把…分层堆放; 借助压条法; 生根繁
metadata,英 ['met?de?t?]美 ['met?de?t?],n. 元数据;
refer,英 [r??f?:(r)]美 [r??f?],vi. 提到; 针对; 关系到; 请教; vt. 归因于…; 使求助于; 送交; 认为…起源于; v
noted,英 [?n??t?d]美 [?no?t?d],adj. 闻名的，著名的; [乐]附有乐谱的; v. 注意，记下; “note”的过去式和过去分词;
upper,英 [??p?(r)]美 [??p?],adj. 上面的; 地位较高的; 内地的; 地表层的; n. 鞋帮，靴面; 兴奋剂; 令人兴奋的经历
depth,英 [depθ]美 [d?pθ],n. 深度; 深处，深海; 深奥，奥妙; 进深;
engine,英 [?end??n]美 [??nd??n],n. 发动机，引擎; 工具; 火车头; 机车; vt. 给…安装发动机;
priority,英 [pra???r?ti]美 [pra???r?ti],n. 优先，优先权; （时间，序上的）先，前; 优先考虑的事; [数]优先次序;
mutable,英 [?mju:t?bl]美 [?mjut?b?l],adj. 易变的，性情不定的;
radius,英 [?re?di?s]美 [?redi?s],n. 桡骨; 半径范围; 半径（距离）; 用半径度量的圆形面积;
business,英 [?b?zn?s]美 [?b?zn?s],n. 生意; 商业，交易; 事务，业务; 职业，行业;
variety,英 [v??ra??ti]美 [v??ra??ti],n. 多样; 种类; 杂耍; 变化，多样化;
internally,英 [?n't?:n?l?]美 [?n?t?n?l?],adv. 内地; 内心地; 国内地; 本质地;
speed,英 [spi:d]美 [spid],n. 速度; 快速; 昌盛; （汽车的）变速器，排挡; vt.& vi. 急行，加速; vi. 加速
minus,英 [?ma?n?s]美 [?ma?n?s],prep. （表示否定）没有; 缺少; （表示运算）减去; （表示数目）在零度以下; n. 减号; 
specification,英 [?spes?f??ke??n]美 [?sp?s?f??ke??n],n. 规格; 说明书; 详述;
corpus,英 [?k?:p?s]美 [?k?rp?s],n. 全集，文集; 资金，本金; [计]语料库; 器官;
multiprocessing,英 ['m?lt??pr??ses??]美 ['m?lt??pro?ses??],n. 多重处理，多处理（技术）;
peewee,英 ['pi:wi:]美 ['piwi],n. <美口>矮小的人或东西; adj. 矮小的;
completely,英 [k?m?pli:tli]美 [k?m?pli?tli],adv. 完全地; 完整地; 完全，彻底，全部，一干二净; 很，非常，充分，十分，万分;
primary,英 [?pra?m?ri]美 [?pra?meri],adj. 首要的，主要的; 最早的，原始的; [地质学]原生的; 基本的; n. 第一位; 最好者;
outline,英 [?a?tla?n]美 [?a?t?la?n],n. 梗概，大纲，提纲，草稿，要点，主要原则; 外形，轮廓，轮廓线，轮廓画法，略图（画法）; vt.
attach,英 [??t?t?]美 [??t?t?],vt.& vi. 附上; 贴上，系; vt. （有时不受欢迎或未受邀请而）参加; 把…固定; 把…归
download,英 [?da?n?l??d]美 [?da?n?lo?d],v. 将（程序，资料等）从大计算机系统输入小计算机系统，下载;
twitter,英 [?tw?t?(r)]美 [?tw?t?],vi. （人因兴奋）嘁嘁喳喳地讲; （鸟）叽叽喳喳地叫; 格格地笑; （激动得）抖颤; vt. （鸟
completion,英 [k?m?pli:?n]美 [k?m?pli??n],n. 完成，结束; 实现; [数]求全法; 期满;
catch,"英 [k?t?]美 [k?t?, k?t?]",vt. 赶上; 接住; 引起; 看见; vt.& vi. （使）被钩住，（使）被卡住; n. 抓; 
discard,英 [d?s?kɑ:d]美 [d?s?kɑrd],vt. 丢弃，抛弃; 解雇; 出牌; n. 被抛弃的人[物]; 丢弃，抛弃; 打出的牌; 打出的牌;
latin,英 [?l?t?n]美 [?l?tn],n. 拉丁文; 拉丁语，拉丁文学; 拉丁美洲人; 拉丁姆人; adj. 拉丁美洲的; 拉丁的，拉丁语
sentence,英 [?sent?ns]美 [?s?nt?ns],n. 句子; 宣判; vt. 宣判，判决;
branch,英 [brɑ:nt?]美 [br?nt?],n. 分支; 树枝; 部门，分科; 支流; vi. 分支形成; 分支扩张; 扩大某人的兴趣，业务或活
listed,英 ['l?st?d]美 ['l?st?d],adj. 列入文物保护名册的; 登记上市的;
onload,英 ['?nl??d]美 ['?nlo?d],vt. 装载;
invoke,英 [?n?v??k]美 [?n?vo?k],vt. 乞灵，祈求; 提出或授引…以支持或证明; 召鬼; 借助;
difference,"英 [?d?fr?ns]美 [?d?f?r?ns, ?d?fr?ns]",n. 差别，差异; [数]差数，差额; 意见分歧; 特色; vt. 辨别，区分;
verbose,英 [v?:?b??s]美 [v?r?bo?s],adj. 冗长的，啰唆的，累赘的; adv. 冗长地，啰唆地，累赘地;
capsule,英 [?k?psju:l]美 [?k?psul],n. 胶囊; 航天舱; （植物的）荚; 小容器; adj. 压缩的; 概要的; vt. 压缩; 简述
dimensional,英 [d?'men??n?l]美 [d??m?n??nl],adj. 维的; 尺寸的; <物>量纲的; <数>因次的;
symbol,英 [?s?mbl]美 [?s?mb?l],n. 符号; 象征; 标志; 记号; vt. 用符号代表;
observe,英 [?b?z?:v]美 [?b?z?rv],vt.& vi. 观察; 研究; vt. 观察; 遵守; 庆祝; vi. 注意; 说; 评述; 当观
selector,英 [s??lekt?(r)]美 [s??l?kt?],n. 选择者，选择器;
awesome,英 [??:s?m]美 [??s?m],adj. 可怕的; 令人敬畏的; 使人畏惧的; 极好的;
direct,"英 [d??rekt]美 [d??r?kt, da?-]",adj. 直接的; 直的; 直系的; 率直的; adv. 直接地; 径直地; 直截了当地; 正好; 
similarly,英 [?s?m?l?li]美 [?s?m?l?rli],adv. 类似地; 相似地;
limit,英 [?l?m?t]美 [?l?m?t],n. 限制; 界限; 限量，限度; vt. 限制，限定;
invalid,英 [?n?v?l?d]美 [??nv?l?d],adj. 无效的; 不能成立的; 有病的; 病人用的; vt. 使伤残; 使退役; 失去健康; n.
operand,英 [??p?r?nd]美 [?ɑp?r?nd],n. 操作数; 运算数;
interesting,英 [??ntr?st??]美 [??ntr?st??],adj. 有趣的; 令人感兴趣的，有趣的; 引起兴趣的; 令人关注的;
contiguous,英 [k?n?t?gju?s]美 [k?n?t?ɡju?s],adj. 接触的，邻近的，共同的;
potential,英 [p??ten?l]美 [p??t?n??l],adj. 潜在的，有可能的; [语法学]可能语气的，表示可能性的; 有能力的; n. 潜力，潜能; 
temporary,英 [?tempr?ri]美 [?temp?reri],adj. 短暂的; 临时的，暂时的; n. 临时工，临时雇员;
people,英 [?pi:pl]美 [?pip?l],n. 人民; 人，人类; 居民; 种族; vt. 居住于，布满; 使住满人，在…殖民; 把动物放养在
color,英 ['k?l?(r)]美 [?k?l?],n. <美>颜色，色彩; 肤色，脸色，血色; 颜料，染料; 本质; v. <美>给…涂颜色; 改变…
policy,英 [?p?l?si]美 [?pɑl?si],n. 政策; 策略; 保险单; 策略性;
iterate,英 [??t?re?t]美 [??t??ret],vt. 重复; 反复申明;
maximum,英 [?m?ks?m?m]美 [?m?ks?m?m],adj. 最大值的，最大量的; n. 最大的量、体积、强度等;
correctly,英 [k?'rektl?]美 [k??r?ktl?],adv. 正确地，得体地; 实事求是;
assert,英 [??s?:t]美 [??s?rt],vt. 声称，断言; 维护，坚持; 坚持自己的主张; 生效;
actor,英 [??kt?(r)]美 [??kt?],n. 行动者; 演员（尤指男演员）; 参与者;
sched,英 [?ed]美 [?ed],n. <口>（无线电）固定播送（或收听）时间;
amount,英 [??ma?nt]美 [??ma?nt],n. 量，数量; 总额; 本利之和; 全部效果，全部含义; vi. （在意义、价值、效果、程度等方面
delegate,英 [?del?g?t]美 [?d?l??ɡet],n. 代表，代表团成员; vt. 委派代表; 授权给; [法律]债务转移;
garbage,英 [?gɑ:b?d?]美 [?gɑrb?d?],n. 垃圾; 脏东西; 丢弃的食物; 无用的数据;
subject,英 [?s?bd??kt]美 [?s?bd?ekt],n. 主题，话题; 学科，科目; [哲]主观; adj. 须服从…的; （在君主等）统治下的; v.
condition,英 [k?n?d??n]美 [k?n?d???n],n. 状态; 环境; 健康状况; 条款; vt. 制约; 限制; 使习惯于; 使适应; vt.& v
careful,英 [?ke?fl]美 [?kerfl],adj. 仔细的，小心的; 周到的; 慎; 心细;
summary,英 [?s?m?ri]美 [?s?m?ri],n. 摘要，概要; 总结，一览; adj. 概括的，总结的; 即刻的，立即的;
contained,英 [k?n'te?nd]美 [k?n'te?nd],v. 包含; 控制( contain的过去式和过去分词 ); 克制; 牵制;
prompt,英 [pr?mpt]美 [prɑmpt],adj. 迅速的; 敏捷的; 立刻的; 准时的; v. 提示; 促使; 导致; 鼓励; n. 提示;
somewhat,英 [?s?mw?t]美 [?s?mw?t],adv. 稍微; 有点; 达到某种程度; n. 少量; 某些数量; 某种程度;
extern,英 [?ekst?:n]美 [?ekst?rn],n. 走读生，走读医学研究生; adj. <古>外（面）的，外来的;
bookmark,英 [?b?kmɑ:k]美 [?b?kmɑrk],n. 书签; vt. [计算机]给…夹书签;
customize,英 [?k?st?ma?z]美 [?k?st??ma?z],vt. 定制，定做; 按规格改制;
timer,英 [?ta?m?(r)]美 [?ta?m?],n. 定时器; 计时器; 点火调节装置; 跑表，时计;
operating,英 ['?p?re?t??]美 [?ɑp??ret??],adj. 操作的; 营运的; 业务上的; 外科手术的; v. 运转; 操作( operate的现在分
online,英 [??n?la?n]美 [?ɑn?la?n],adj. 在线的; 联网的; 联机的;
elegant,英 [?el?g?nt]美 [??l?ɡ?nt],adj. （人或其举止）优美的; 漂亮的; 简炼的; 简洁的;
chunk,英 [t???k]美 [t???k],n. 厚厚的一块; （某物）相当大的数量或部分; 强壮、结实的马;
jones,英 [d??unz]美 [d?onz],n. <美><俚>瘾，毒瘾，固着型依恋;
schema,英 [?ski:m?]美 [?skim?],n. 概要，计划，图表;
square,英 [skwe?(r)]美 [skwer],n. 平方; 广场; 正方形; 方格; adj. 平方的; 正方形的; 成直角的; （尤指在生意上）
arbitrary,英 [?ɑ:b?tr?ri]美 [?ɑrb?treri],adj. 乱; 随意的，任性的，随心所欲的; 主观的，武断的; 霸道的，专制的，专横的，独断独行的;
article,英 [?ɑ:t?kl]美 [?ɑrt?kl],n. 物品; （报章杂志中的）文章，论文; 条款; [语] 冠词; vt. 使受协议条款的约束; 以
possibly,英 [?p?s?bli]美 [?pɑs?bli],adv. 可能地; 也许，或许; 敢是; 容许;
zombie,英 [?z?mbi]美 [?zɑmbi],n. （某些非洲和加勒比地区的宗教及恐怖故事中）靠巫术起死回生的僵尸; 无生气的人，麻木迟钝的人;
numeric,英 [nju:'mer?k]美 [nu'mer?k],adj. 数字的; 数值的;
override,英 [???v??ra?d]美 [?o?v?r?ra?d],vt. 覆盖; 推翻，无视; 践踏; 优先于; n. 佣金; 超驰控制装置; 撤消，推翻;
essentially,英 [??sen??li]美 [??sen??li],adv. 本质上，根本上; 本来; “essential“的派生;
prepare,英 [pr??pe?(r)]美 [pr??per],vt. 准备; 预备（饭菜）; 配备; 使（自己）有准备; vt.& vi. 筹备，进行各项准备工作
agent,英 [?e?d??nt]美 [?ed??nt],n. 代理人; 代理商; 特工; 药剂; vt. 由…作中介; 由…代理; adj. 代理的;
escape,英 [??ske?p]美 [??skep],v. 逃脱; 逃离; 躲过; 泄露; n. 逃走; 逃跑工具或方法; 野生种; 泄漏; adj. 使
underscore,英 [??nd??sk?:(r)]美 [??nd?r?sk?(r)],vt. 划线于…下，强调; n. 底线; （表示强调的）下方划线; （影片等的）伴音;
explicit,英 [?k?spl?s?t]美 [?k?spl?s?t],adj. 明确的，清楚的; 直言的; 详述的; 不隐瞒的;
delay,英 [d??le?]美 [d??le],n. 耽搁; 延迟，拖延; 被耽搁或推迟的时间; vt. 耽搁; 延期，推迟; vi. 延缓，延期;
remainder,英 [r??me?nd?(r)]美 [r??mend?],n. 剩余物; 其他人员; 差数; 廉价出售的图书; vt. 廉价出售（书）; 廉价出售; adj.
coded,英 [?k??d?d]美 [?ko?d?d],adj. 电码的，编码的; 译成电码的; v. 译成密码(code的过去式和过去分词);
instantiate,英 [?ns't?n??e?t]美 [?ns't?n??e?t],vt. 例示;
container,英 [k?n?te?n?(r)]美 [k?n?ten?],n. 容器; 箱，匣; 集装箱，货柜;
leading,英 [?li:d??]美 [?lid??],adj. 重要的，主要的; 前列的; 首位的; n. 行距; 铅框; v. 领导（lead的ing形
waiting,英 [?we?t??]美 [?wet??],n. 等候; （宫廷中的）侍奉; 侍女; 侍奉期间; adj. 等待的; （尤指因迟到）让人等候; 
terminal,英 [?t?:m?nl]美 [?t?rm?nl],adj. 末端的; 末期的; 晚期的; 定期的; n. 终端; 终点站; 航空站; （电路的）端子;
attached,英 [??t?t?t]美 [??t?t?t],adj. 附加的，附属的; 依恋的; 爱慕的; v. 贴上，系，附上( attach的过去式和过去分
remember,英 [r??memb?(r)]美 [r??m?mb?],vt.& vi. 记得; 牢记; vt. 记着; 纪念; 回想起; 送钱[礼物]给…;
previously,英 ['pri:v??sl?]美 [?priv??sl?],adv. 以前; 事先; 仓促; “previous”的派生;
wrong,英 [r??]美 [r??],adj. 有毛病的，失常的; 错误的，不正确的; 不好的，不公正的; 反对的，相反的，颠倒的，背面的
account,英 [??ka?nt]美 [??ka?nt],n. 账，账目; 存款; 记述，报告; 理由; vi. 解释; 导致; 报账; vt. 认为; 把…
knowledge,英 [?n?l?d?]美 [?nɑl?d?],n. 了解，理解; 知识（表示多方面的知识时有复数knowledges这一用法）; 学科; 见闻;
dispatch,英 [d??sp?t?]美 [d??sp?t?],vt. 派遣，调度; （迅速地）发出; 迅速处理，迅速了结; 处决（罪犯等）; n. （使者等的）派
enumerate,英 [??nju:m?re?t]美 [??num?re?t],vt. 列举，枚举，数;
dumps,英 [d?mps]美 [d?mps],n. 抑郁; v. 倾倒( dump的第三人称单数 ); 丢下; 随便堆放; 释放;
initialization,英 [??n???la?'ze??n]美 [??n???la?'ze??n],n. 设定初值，初始化;
